title,start,end,country
juhannusaatto,2053-06-20,2053-06-20,FI
itsenäisyyspäivä,2053-12-06,2053-12-06,FI
jouluaatto,2053-12-24,2053-12-24,FI
joulupäivä,2053-12-25,2053-12-25,FI
tapaninpäivä,2053-12-26,2053-12-26,FI
uusivuosi,2054-01-01,2054-01-01,FI
loppiainen,2054-01-06,2054-01-06,FI
pitkäperjantai,2054-03-27,2054-03-27,FI
toinen pääsiäispäivä,2054-03-30,2054-03-30,FI
vappu,2054-05-01,2054-05-01,FI
helatorstai,2054-05-07,2054-05-07,FI
juhannusaatto,2054-06-19,2054-06-19,FI
itsenäisyyspäivä,2054-12-06,2054-12-06,FI
jouluaatto,2054-12-24,2054-12-24,FI
joulupäivä,2054-12-25,2054-12-25,FI
tapaninpäivä,2054-12-26,2054-12-26,FI
uusivuosi,2055-01-01,2055-01-01,FI
loppiainen,2055-01-06,2055-01-06,FI
pitkäperjantai,2055-04-16,2055-04-16,FI
toinen pääsiäispäivä,2055-04-19,2055-04-19,FI
vappu,2055-05-01,2055-05-01,FI
helatorstai,2055-05-27,2055-05-27,FI
juhannusaatto,2055-06-25,2055-06-25,FI
itsenäisyyspäivä,2055-12-06,2055-12-06,FI
jouluaatto,2055-12-24,2055-12-24,FI
joulupäivä,2055-12-25,2055-12-25,FI
tapaninpäivä,2055-12-26,2055-12-26,FI
uusivuosi,2056-01-01,2056-01-01,FI
loppiainen,2056-01-06,2056-01-06,FI
pitkäperjantai,2056-03-31,2056-03-31,FI
toinen pääsiäispäivä,2056-04-03,2056-04-03,FI
vappu,2056-05-01,2056-05-01,FI
helatorstai,2056-05-11,2056-05-11,FI
juhannusaatto,2056-06-23,2056-06-23,FI
itsenäisyyspäivä,2056-12-06,2056-12-06,FI
jouluaatto,2056-12-24,2056-12-24,FI
joulupäivä,2056-12-25,2056-12-25,FI
tapaninpäivä,2056-12-26,2056-12-26,FI
uusivuosi,2057-01-01,2057-01-01,FI
loppiainen,2057-01-06,2057-01-06,FI
pitkäperjantai,2057-04-20,2057-04-20,FI
toinen pääsiäispäivä,2057-04-23,2057-04-23,FI
vappu,2057-05-01,2057-05-01,FI
helatorstai,2057-05-31,2057-05-31,FI
juhannusaatto,2057-06-22,2057-06-22,FI
itsenäisyyspäivä,2057-12-06,2057-12-06,FI
jouluaatto,2057-12-24,2057-12-24,FI
joulupäivä,2057-12-25,2057-12-25,FI
tapaninpäivä,2057-12-26,2057-12-26,FI
uusivuosi,2058-01-01,2058-01-01,FI
loppiainen,2058-01-06,2058-01-06,FI
pitkäperjantai,2058-04-12,2058-04-12,FI
toinen pääsiäispäivä,2058-04-15,2058-04-15,FI
vappu,2058-05-01,2058-05-01,FI
helatorstai,2058-05-23,2058-05-23,FI
juhannusaatto,2058-06-21,2058-06-21,FI
itsenäisyyspäivä,2058-12-06,2058-12-06,FI
jouluaatto,2058-12-24,2058-12-24,FI
joulupäivä,2058-12-25,2058-12-25,FI
tapaninpäivä,2058-12-26,2058-12-26,FI
uusivuosi,2059-01-01,2059-01-01,FI
loppiainen,2059-01-06,2059-01-06,FI
pitkäperjantai,2059-03-28,2059-03-28,FI
toinen pääsiäispäivä,2059-03-31,2059-03-31,FI
vappu,2059-05-01,2059-05-01,FI
helatorstai,2059-05-08,2059-05-08,FI
juhannusaatto,2059-06-20,2059-06-20,FI
itsenäisyyspäivä,2059-12-06,2059-12-06,FI
jouluaatto,2059-12-24,2059-12-24,FI
joulupäivä,2059-12-25,2059-12-25,FI
tapaninpäivä,2059-12-26,2059-12-26,FI
uusivuosi,2060-01-01,2060-01-01,FI
loppiainen,2060-01-06,2060-01-06,FI
pitkäperjantai,2060-04-16,2060-04-16,FI
toinen pääsiäispäivä,2060-04-19,2060-04-19,FI
vappu,2060-05-01,2060-05-01,FI
helatorstai,2060-05-27,2060-05-27,FI
juhannusaatto,2060-06-25,2060-06-25,FI
itsenäisyyspäivä,2060-12-06,2060-12-06,FI
jouluaatto,2060-12-24,2060-12-24,FI
joulupäivä,2060-12-25,2060-12-25,FI
tapaninpäivä,2060-12-26,2060-12-26,FI
uusivuosi,2061-01-01,2061-01-01,FI
loppiainen,2061-01-06,2061-01-06,FI
pitkäperjantai,2061-04-08,2061-04-08,FI
toinen pääsiäispäivä,2061-04-11,2061-04-11,FI
vappu,2061-05-01,2061-05-01,FI
helatorstai,2061-05-19,2061-05-19,FI
juhannusaatto,2061-06-24,2061-06-24,FI
itsenäisyyspäivä,2061-12-06,2061-12-06,FI
jouluaatto,2061-12-24,2061-12-24,FI
joulupäivä,2061-12-25,2061-12-25,FI
tapaninpäivä,2061-12-26,2061-12-26,FI
uusivuosi,2062-01-01,2062-01-01,FI
loppiainen,2062-01-06,2062-01-06,FI
pitkäperjantai,2062-03-24,2062-03-24,FI
toinen pääsiäispäivä,2062-03-27,2062-03-27,FI
vappu,2062-05-01,2062-05-01,FI
helatorstai,2062-05-04,2062-05-04,FI
juhannusaatto,2062-06-23,2062-06-23,FI
itsenäisyyspäivä,2062-12-06,2062-12-06,FI
jouluaatto,2062-12-24,2062-12-24,FI
joulupäivä,2062-12-25,2062-12-25,FI
tapaninpäivä,2062-12-26,2062-12-26,FI
uusivuosi,2063-01-01,2063-01-01,FI
loppiainen,2063-01-06,2063-01-06,FI
pitkäperjantai,2063-04-13,2063-04-13,FI
toinen pääsiäispäivä,2063-04-16,2063-04-16,FI
vappu,2063-05-01,2063-05-01,FI
helatorstai,2063-05-24,2063-05-24,FI
juhannusaatto,2063-06-22,2063-06-22,FI
itsenäisyyspäivä,2063-12-06,2063-12-06,FI
jouluaatto,2063-12-24,2063-12-24,FI
joulupäivä,2063-12-25,2063-12-25,FI
tapaninpäivä,2063-12-26,2063-12-26,FI
uusivuosi,2064-01-01,2064-01-01,FI
loppiainen,2064-01-06,2064-01-06,FI
pitkäperjantai,2064-04-04,2064-04-04,FI
toinen pääsiäispäivä,2064-04-07,2064-04-07,FI
vappu,2064-05-01,2064-05-01,FI
helatorstai,2064-05-15,2064-05-15,FI
juhannusaatto,2064-06-20,2064-06-20,FI
itsenäisyyspäivä,2064-12-06,2064-12-06,FI
jouluaatto,2064-12-24,2064-12-24,FI
joulupäivä,2064-12-25,2064-12-25,FI
tapaninpäivä,2064-12-26,2064-12-26,FI
uusivuosi,2065-01-01,2065-01-01,FI
loppiainen,2065-01-06,2065-01-06,FI
pitkäperjantai,2065-03-27,2065-03-27,FI
toinen pääsiäispäivä,2065-03-30,2065-03-30,FI
vappu,2065-05-01,2065-05-01,FI
helatorstai,2065-05-07,2065-05-07,FI
juhannusaatto,2065-06-19,2065-06-19,FI
itsenäisyyspäivä,2065-12-06,2065-12-06,FI
jouluaatto,2065-12-24,2065-12-24,FI
joulupäivä,2065-12-25,2065-12-25,FI
tapaninpäivä,2065-12-26,2065-12-26,FI
uusivuosi,2066-01-01,2066-01-01,FI
loppiainen,2066-01-06,2066-01-06,FI
pitkäperjantai,2066-04-09,2066-04-09,FI
toinen pääsiäispäivä,2066-04-12,2066-04-12,FI
vappu,2066-05-01,2066-05-01,FI
helatorstai,2066-05-20,2066-05-20,FI
juhannusaatto,2066-06-25,2066-06-25,FI
itsenäisyyspäivä,2066-12-06,2066-12-06,FI
jouluaatto,2066-12-24,2066-12-24,FI
joulupäivä,2066-12-25,2066-12-25,FI
tapaninpäivä,2066-12-26,2066-12-26,FI
uusivuosi,2067-01-01,2067-01-01,FI
loppiainen,2067-01-06,2067-01-06,FI
pitkäperjantai,2067-04-01,2067-04-01,FI
toinen pääsiäispäivä,2067-04-04,2067-04-04,FI
vappu,2067-05-01,2067-05-01,FI
helatorstai,2067-05-12,2067-05-12,FI
juhannusaatto,2067-06-24,2067-06-24,FI
itsenäisyyspäivä,2067-12-06,2067-12-06,FI
jouluaatto,2067-12-24,2067-12-24,FI
joulupäivä,2067-12-25,2067-12-25,FI
